Name,Type,Latitude,Longitude
AIIMS Delhi,Hospital,28.5672,77.21
Safdarjung Hospital,Hospital,28.5706,77.207
Max Hospital Saket,Hospital,28.5245,77.2066
Fortis Hospital Noida,Hospital,28.567,77.326
Apollo Hospital Delhi,Hospital,28.5416,77.2837
District Hospital Meerut,Hospital,28.9845,77.7064
Subharti Hospital Meerut,Hospital,28.9643,77.7362
Police HQ Delhi,Police,28.6304,77.2177
Connaught Place Police Station,Police,28.6315,77.2167
Noida Sector 20 Police Station,Police,28.5862,77.3272
Meerut Police Station,Police,28.984,77.706
Fire Station Connaught Place,Fire,28.631,77.2165
Fire Station Noida,Fire,28.57,77.32
Fire Station Meerut,Fire,28.985,77.705
Civil Hospital Dehradun,Hospital,30.3256,78.0437
Police Line Dehradun,Police,30.3165,78.0322
Fire Station Dehradun,Fire,30.316,78.032
SGPGI Lucknow,Hospital,26.748,80.935
Lucknow Police Station,Police,26.8467,80.9462
Fire Station Lucknow,Fire,26.85,80.94
